title,text,category
Justin Bieber,"Justin Drew Bieber (/ˈbiːbər/ BEE-bər; born March 1, 1994)[2][3] is a Canadian singer. Regarded as a pop icon, he is known for his multi-genre musical performances.[4][5] Discovered by Scooter Braun in 2008 and brought to the US by Usher, both of whom formed RBMG Records to sign Bieber that October. His debut EP, My World (2009), was met with international recognition and established him as a teen idol.

Bieber rose to mainstream fame with his debut album, My World 2.0 (2010), which topped the US Billboard 200, making him the youngest solo male to do so in 47 years.[6] Its lead single, ""Baby"" (featuring Ludacris), became a best selling single.[7] His second album, Under the Mistletoe (2011), became the first Christmas album by a male artist to debut atop chart.[8] Bieber explored dance-pop on his third album, Believe (2012); its acoustic re-release made him the first artist in Billboard history to have five US number-one albums by the age of 18.[9]

Bieber explored EDM with his 2015 single ""Where Are Ü Now"", which won the Grammy Award for Best Dance/Electronic Recording.[10][11] This influenced his fourth album, Purpose (2015), producing three Billboard Hot 100 number-one singles: ""Love Yourself"", ""Sorry"", and ""What Do You Mean?"", making him the first artist to hold the top three spots in UK chart history. In 2017, his guest singles ""I'm the One"" by DJ Khaled and ""Despacito"" by Luis Fonsi peaked the Billboard Hot 100, making him the first artist to replace himself atop chart with new songs in two consecutive weeks.[12] The latter won him a Latin Grammy Award. His fifth album, Changes (2020) and sixth album, Justice (2021) both topped the Billboard 200, with latter featuring ""Peaches"". He broke Elvis Presley's 1965 record for the youngest solo act to have eight US number-one albums, and released his eighth US number-one single, ""Stay"", that same year.

Bieber is one of the best-selling music artists of all time, with over 150 million units sold worldwide and five diamond certifications from the RIAA.[13] His accolades include two Grammy Awards, one Latin Grammy Award, eight Juno Awards, two Brit Awards, twenty-six Billboard Music Awards, eighteen American Music Awards, twenty-two MTV Europe Music Awards (the most wins for any artist), twenty-three Teen Choice Awards, and thirty-three Guinness World Records. Time named him one of the 100 most influential people in the world in 2011, and Forbes' listed him among the top ten most powerful celebrities from 2011 to 2013.[14] Billboard ranked him the eighth-greatest pop star of the 21st century.",Male
Justin Timberlake,"Justin Randall Timberlake (born January 31, 1981)[2] is an American singer, songwriter, actor, record producer, and dancer.[3] Dubbed the ""Prince of Pop"", Billboard honored him as the best performing male solo act on Pop Airplay and one of the Greatest Pop Stars of the 21st Century.[4][5] Timberlake remains among the best-selling recording artists of all time, with sales of over 117 million records worldwide.[6] His awards include ten Grammy Awards, four Primetime Emmy Awards, three Brit Awards, nine Billboard Music Awards, the Contemporary Icon Award by the Songwriters Hall of Fame, and MTV's Michael Jackson Video Vanguard Award.

Born and raised in Memphis, Tennessee, Timberlake appeared on musical television shows as a child, competing on Star Search; in the early to mid-1990s, he was a cast member on the Disney Channel's The All New Mickey Mouse Club, where he performed cover songs, skits, and choreography. On the show, Timberlake met and worked with future bandmate JC Chasez, and the two later rose to prominence as the lead vocalists of the pop boyband NSYNC. The group released four commercially successful studio albums, becoming one of the best-selling boy bands of all time with sales of over 70 million units worldwide.

Timberlake established himself as a solo artist with his first two albums, Justified (2002) and FutureSex/LoveSounds (2006), both of which sold over 10 million copies and received triple platinum certification by the RIAA, with the latter becoming his first US Billboard 200 chart number-one album. He further topped the chart on three more occasions, with The 20/20 Experience, The 20/20 Experience – 2 of 2 (both 2013) and Man of the Woods (2018). The 20/20 Experience became the best-selling album of the year. Throughout his career, Timberlake scored numerous high-charting US Billboard Hot 100 singles, including ""Cry Me a River"", ""Rock Your Body"", ""SexyBack"", ""My Love"", ""LoveStoned/I Think She Knows"", ""What Goes Around... Comes Around"", ""Dick in a Box"", ""Give It to Me"", ""4 Minutes"", ""Pusher Love Girl"", ""Suit & Tie"", ""Mirrors"" and ""Can't Stop the Feeling!"", which earned him an Academy Award nomination.

Timberlake enhanced his popularity with an acting career. He landed starring roles in the films The Love Guru (2008), The Social Network (2010), Bad Teacher (2011), Friends with Benefits (2011), In Time (2011), Wonder Wheel (2017) and Palmer (2021). He also voiced Artie in Shrek the Third (2007), Boo-Boo Bear in Yogi Bear (2010) and Branch in the Trolls franchise since 2016.",Male
Michael Jackson,"Michael Joseph Jackson (August 29, 1958 – June 25, 2009) was an American singer, songwriter, dancer, and philanthropist. Dubbed the ""King of Pop"", he is regarded as one of the most culturally significant figures of the 20th century. Over a four-decade career, his music achievements broke racial barriers in America and made him a dominant figure across the world. Through songs, stages, and fashion, he proliferated visual performance for artists in popular music; popularizing street dance moves including the moonwalk, the robot, and the anti-gravity lean. Jackson is often deemed the greatest entertainer of all time based on his acclaim and records.[1]

The eighth child of the Jackson family, Michael made his public debut in 1964 at age six, as a member of the Jackson 5 (later known as the Jacksons). After signing with Motown in 1968, the band achieved worldwide success with him as its lead singer. Jackson achieved solo stardom with the release of his fifth album Off the Wall (1979). He followed it up with Thriller (1982), the best-selling album of all time, which catapulted him to a rare level of fame,[2] whilst aiding in the popularization of MTV and revolutionizing the music video medium with the videos for its title track along with ""Beat It"" and ""Billie Jean"". Jackson furthered his position as a global superstar with Bad (1987), the world's best-selling album of both 1987 and 1988, as well as the first album to produce five US Billboard Hot 100 number-one singles: ""I Just Can't Stop Loving You"", ""Bad"", ""The Way You Make Me Feel"", ""Man in the Mirror"", and ""Dirty Diana"". Dangerous (1991) marked a new era for Jackson, lauded as his most artistic and socially conscious album. HIStory (1995) produced ""You Are Not Alone"", the first song to debut at number one on the US Billboard Hot 100. His final album, Invincible, was released in 2001.

From the late 1980s, Jackson became a figure of controversy and speculation due to his changing appearance, relationships, behavior, and lifestyle. He was accused of sexually abusing the child of a family friend in 1993. In 2005, Jackson was tried and acquitted of further child sexual abuse allegations and all other charges. While preparing for This Is It (a series of comeback concerts), Jackson died in 2009 from an overdose of propofol administered by his personal physician Conrad Murray, who was convicted in 2011 of involuntary manslaughter. Jackson's death triggered reactions around the world, creating unprecedented surges of internet traffic and a spike in sales of his music. His televised memorial service, held at the Staples Center in Los Angeles, was estimated to have been viewed by more than 2.5 billion people.

Jackson is one of the best-selling music artists of all time, with estimated sales of over 500 million records worldwide.[nb 1] He had 13 Billboard Hot 100 number-one singles (the fifth-highest in Hot 100 history) and is the first artist to have a top-ten single on the chart in five different decades. Jackson was inducted into the Rock and Roll Hall of Fame (twice), the National Rhythm & Blues Hall of Fame, the Vocal Group Hall of Fame, the Songwriters Hall of Fame and the Dance Hall of Fame (the only recording artist to be inducted). One of the most-awarded artists in popular music, his accolades include 13 Grammy Awards, the Grammy Legend Award, and the Grammy Lifetime Achievement Award; 26 American Music Awards, including Artist of the Century; 12 World Music Awards; six Brit Awards; the Bambi Pop Artist of the Millennium Award; and three presidential honors. In 1992, Jackson founded Heal the World Foundation, donating an estimated $500 million to charity throughout his lifetime. In 2024, half of his music catalogue sold to Sony for $600 million, the largest music acquisition for a single artist in history.",Male
Rod Stewart,"Sir Roderick David Stewart (born 10 January 1945)[2] is a British singer and songwriter. Known for his distinctive raspy singing voice,[3] Stewart is among the best-selling music artists of all time, having sold more than 120 million records worldwide.[4] His music career began in 1962 when he took up busking with a harmonica. In 1963, he joined the Dimensions as a harmonica player and vocalist. In 1964, Stewart joined Long John Baldry and the All Stars before moving to the Jeff Beck Group in 1967. Joining Faces in 1969, he also launched a solo career, releasing his debut album, An Old Raincoat Won't Ever Let You Down, that year. Stewart's early albums were a fusion of rock, folk music, soul music, and R&B.[5][6] His third album, 1971's Every Picture Tells a Story, was his breakthrough, topping the charts in the UK, US, Canada and Australia, as did its single ""Maggie May"". His 1972 follow-up album, Never a Dull Moment, also reached number one in the UK and Australia, while going top three in the US and Canada. Its single, ""You Wear It Well"", topped the chart in the UK and was a moderate hit elsewhere.

After Stewart had a handful more UK top-ten hits, Faces broke up in 1975. Stewart's next few hit singles were ballads, with ""Sailing"", taken from the 1975 UK and Australian number-one album Atlantic Crossing, becoming a hit in the UK and the Netherlands (number one), Germany (number four) and other countries, but barely charting in North America. A Night on the Town (1976), his fifth straight chart-topper in the UK, began a three-album run of going number one or top three in the US, Canada, the UK and Australia with each release. That album's ""Tonight's the Night (Gonna Be Alright)"" spent almost two months at number one in the US and Canada, and made the top five in other countries. Foot Loose & Fancy Free (1977) contained the hit ""You're in My Heart (The Final Acclaim)"" as well as the rocker ""Hot Legs"". Blondes Have More Fun (1978) and its disco-tinged ""Da Ya Think I'm Sexy?"" both went to number one in Canada, Australia and the US, with ""Da Ya Think I'm Sexy?"" also hitting number one in the UK and the top ten in other countries. Stewart's albums regularly hit the upper rungs of the charts in the Netherlands throughout the 1970s and in Sweden from 1975 onward.

After a disco and new wave period in the late 1970s and early 1980s, Stewart's music turned to a soft rock/middle-of-the-road style, with most of his albums reaching the top ten in the UK, Germany and Sweden, but faring less well in the US. The single ""Rhythm of My Heart"" was a top five hit in the UK, US and other countries, with its source album, 1991's Vagabond Heart, becoming, at number ten in the US and number two in the UK, his highest-charting album in a decade. In 1993, he collaborated with Bryan Adams and Sting on the power ballad ""All for Love"", which went to number one in many countries. In the early 2000s, he released a series of successful albums interpreting the Great American Songbook.

In 2008, Billboard magazine ranked Stewart the 17th most successful artist on the ""Billboard Hot 100 All-Time Top Artists"".[7] A Grammy and Brit Award recipient, he was voted at No. 33 in Q Magazine's list of the Top 100 Greatest Singers of all time.[8] As a solo artist, Stewart was inducted into the US Rock and Roll Hall of Fame in 1994, the UK Music Hall of Fame in 2006, and he was inducted a second time into the Rock and Roll Hall of Fame in 2012 as a member of Faces.[9][10] He has had 10 number-one albums and 31 top-ten singles in the UK, six of which reached number one.[11] Stewart has had 16 top-ten singles in the US, with four reaching number one on the Billboard Hot 100. He was knighted in the 2016 Birthday Honours for services to music and charity.[12]",Male
Stevie Wonder,"Stevland Hardaway Morris (/ˈstiːvˌlənd/; né Judkins; born May 13, 1950), known professionally as Stevie Wonder, is an American and Ghanaian singer-songwriter, musician, and record producer. He is regarded as one of the most influential musicians of the 20th century. Wonder is credited as a pioneer and influence by musicians across a range of genres that include R&B, pop, soul, gospel, funk, and jazz. A virtual one-man band, Wonder's use of synthesizers and other electronic musical instruments during the 1970s reshaped the conventions of contemporary R&B. He also helped drive such genres into the album era, crafting his LPs as cohesive and consistent, in addition to socially conscious statements with complex compositions. Blind since shortly after his birth, Wonder was a child prodigy who signed with Motown's Tamla label at the age of 11, where he was given the professional name Little Stevie Wonder.

Wonder's single ""Fingertips"" was a No. 1 hit on the Billboard Hot 100 in 1963, when he was 13, making him the youngest solo artist ever to top the chart. Wonder's critical success was at its peak in the 1970s. His ""classic period"" began in 1972 with the releases of Music of My Mind and Talking Book, the latter featuring ""Superstition"", which is one of the most distinctive and famous examples of the sound of the Hohner Clavinet keyboard. His works Innervisions (1973), Fulfillingness' First Finale (1974) and Songs in the Key of Life (1976) all won the Grammy Award for Album of the Year, making him the only artist to have won the award with three consecutive album releases. Wonder began his ""commercial period"" in the 1980s; he achieved his biggest hits and highest level of fame, had increased album sales, charity participation, high-profile collaborations (including with Paul McCartney and Michael Jackson), political impact, and television appearances. Wonder has continued to remain active in music and political causes.

Wonder is one of the best-selling music artists of all time, with sales of over 100 million records worldwide. He has won 25 Grammy Awards (the most by a male solo artist) and one Academy Award (Best Original Song, for the 1984 film The Woman in Red). Wonder has been inducted into the Rhythm and Blues Music Hall of Fame, the Rock and Roll Hall of Fame and the Songwriters Hall of Fame. He is also noted for his political activism, including his 1980 campaign to make Martin Luther King Jr.'s birthday a federal holiday in the United States. In 2009, Wonder was named a United Nations Messenger of Peace, and in 2014, he was honored with the Presidential Medal of Freedom.",Male
Aaliyah,"Aaliyah Dana Haughton (/ɑːˈliːə/ ⓘ ah-LEE-ə; January 16, 1979 – August 25, 2001) was an American singer, actress, dancer, and model. Known as the ""Princess of R&B"" and ""Queen of Urban Pop"", she is credited with helping to redefine contemporary R&B, pop, and hip hop.[2] Aaliyah's accolades include three American Music Awards and two MTV VMAs, along with five Grammy Award nominations.

Born in Brooklyn and raised in Detroit, she first gained recognition at the age of 10, when she appeared on the television show Star Search and performed in concert alongside Gladys Knight. At the age of 12, Aaliyah signed with Jive Records and her uncle Barry Hankerson's Blackground Records. Hankerson introduced her to R. Kelly, who became her mentor, as well as lead songwriter and producer of her debut album, Age Ain't Nothing but a Number (1994). The album sold three million copies in the United States and was certified double platinum by the Recording Industry Association of America (RIAA). After allegations of an illegal marriage with Kelly, Aaliyah ended her contract with Jive and signed with Atlantic Records.

Aaliyah worked with record producers Timbaland and Missy Elliott for her second album, One in a Million (1996), which sold three million copies in the United States and more than eight million copies worldwide. In 2000, Aaliyah made her acting debut in the action film Romeo Must Die, alongside Jet Li. She contributed to the film's soundtrack, which was supported by her single ""Try Again"". The song topped the Billboard Hot 100 solely through airplay, becoming the first in the chart's history to do so. After completing the film, Aaliyah subsequently filmed her starring role in Queen of the Damned (which was released posthumously), and in July 2001, released her eponymous third album, which topped the Billboard 200. The album spawned the singles ""We Need a Resolution"", ""Rock the Boat"" and ""More Than a Woman"".

On August 25, 2001, at the age of 22, Aaliyah was killed in the Marsh Harbour Cessna 402 crash along with eight other people on board, when the overloaded aircraft she was traveling in crashed shortly after takeoff. The pilot was later found to have traces of cocaine and alcohol in his body and was not qualified to fly the aircraft designated for the flight. Aaliyah's family filed a wrongful death lawsuit against the aircraft's operator, which was settled out of court. In the decades following her death, Aaliyah's music has continued to achieve commercial success, aided by several posthumous releases, including the compilation albums I Care 4 U (2002) and Ultimate Aaliyah (2005). She has sold 8.1 million albums in the US and an estimated 24 to 32 million albums worldwide. In 2010, Billboard listed her as the tenth most successful female R&B artist of the past 25 years, and the 27th most successful in history.",Female
Adele,"Adele Laurie Blue Adkins (/əˈdɛl/;[5] born 5 May 1988) is an English singer-songwriter. Regarded as a British icon, she is known for her mezzo-soprano vocals and sentimental songwriting. Her accolades include 16 Grammy Awards, 12 Brit Awards (including three for British Album of the Year), an Academy Award, a Primetime Emmy Award, and a Golden Globe Award.

After graduating from the BRIT School in 2006,[6] Adele signed a record deal with XL Recordings. Her debut album, 19 (2008), included the UK top-five singles ""Chasing Pavements"" and ""Make You Feel My Love"", becoming one of best-selling debut albums ever in the UK.[7][8] She received the Grammy Award for Best New Artist. Adele's second studio album, 21 (2011), became the best-selling album of the 21st century. 21 holds the record for the top-performing album in US chart history, topping the Billboard 200 for 24 weeks, with the singles ""Rolling in the Deep"", ""Someone like You"", and ""Set Fire to the Rain"" heading charts worldwide, becoming her signature songs. The album received a record-tying six Grammy Awards, including Album of the Year. In 2012, Adele released ""Skyfall"", a soundtrack single for the James Bond film Skyfall, which won her the Academy Award for Best Original Song.

Adele's third studio album, 25 (2015), broke first-week sales records in both the UK and US. In the US, it remains the only album to sell over three million copies in a week. 25 earned her five Grammy Awards, including the Album of the Year. The lead single, ""Hello"", achieved huge success worldwide. Her fourth studio album, 30 (2021), contains ""Easy on Me"", which won her a Grammy Award in 2023. 25 and 30 became the best-selling albums worldwide, including the US and the UK, in 2015 and 2021, respectively. As of 2024, all of her studio albums, except 19, have topped the yearly best-selling albums chart worldwide in the 21st century.

Adele is one of the world's best-selling music artists, with sales of over 120 million records worldwide. The best-selling female artist of the 21st century in the UK,[9] she was named the best-selling artist of the 2010s in the US.[10] Her studio albums 21 and 25 were the top two best-selling albums of the 2010s in the UK and both are listed among the best-selling albums in UK chart history, while in the US both are certified Diamond, the most of any artist who debuted in the 21st century.",Female
Amy Winehouse,"Amy Jade Winehouse (14 September 1983 – 23 July 2011) was an English singer, songwriter, musician, and businesswoman. With over 30 million records sold worldwide,[1] she was known for her deep, expressive contralto vocals and her eclectic mix of musical genres, including soul, rhythm and blues, reggae, and jazz.[2][3]

Winehouse was a member of the National Youth Jazz Orchestra in her youth, signing to Simon Fuller's 19 Management in 2002 and soon recording a number of songs before signing a publishing deal with EMI. She also formed a working relationship with producer Salaam Remi through these record publishers. Winehouse's debut album, Frank, was released in 2003. Many of the album's songs were influenced by jazz and, apart from two covers, were co-written by Winehouse. Frank was a critical and commercial success in the UK, and beyond, and was nominated for the UK's Mercury Prize.[4] The song ""Stronger Than Me"" won her the Ivor Novello Award for Best Contemporary Song from the British Academy of Songwriters, Composers and Authors.

Winehouse released her follow-up album, Back to Black, in 2006. The album went on to become a huge international success and one of the best-selling albums of all time, as well as one of the best-selling albums in UK history.[5] At the 2007 Brit Awards, it was nominated for British Album of the Year and Winehouse received the award for British Female Solo Artist. The song ""Rehab"" won her a second Ivor Novello Award. At the 50th Grammy Awards in 2008, she won five awards, tying the then record for the most wins by a female artist in a single night and becoming the first British woman to win five Grammys. These included three of the General Field ""Big Four"" Grammy Awards: Best New Artist, Record of the Year and Song of the Year (for ""Rehab""), as well as Best Pop Vocal Album.

Winehouse struggled throughout her life with substance abuse, mental illness and addiction. She died at her Camden Square home in London of alcohol poisoning in 2011 at the age of 27, prompting media references to the 27 Club.[6][7] Her brother believed that bulimia was also a factor. After her death, Back to Black briefly became the UK's best-selling album of the 21st century.[8] VH1 ranked Winehouse 26th on their list of the 100 Greatest Women in Music. Her life and career was dramatised in a 2024 biopic, Back to Black, directed by Sam Taylor-Johnson. In 2025, her Back to Black album was preserved in the National Recording Registry by the Library of Congress.[9]",Female
Ariana Grande,"Ariana Grande-Butera (/.ɑːriˈɑːnə ˈɡrɑːndeɪ bjʊˈtɛərə/ ⓘ AR-ee-AH-nə GRAHN-day byuu-TAIR-ə;[note 1] born June 26, 1993) is an American singer, songwriter, and actress. Regarded as a pop icon and an influential figure in popular music, Grande is known for her four-octave vocal range, which extends into the whistle register. Her accolades include two Grammy Awards, a Brit Award, two Billboard Music Awards, three American Music Awards, 39 Guinness World Records, and ten MTV Video Music Awards. She has been listed amongst history's greatest artists and vocalists by publications such as Rolling Stone and Billboard. Grande has sold over 90 million records worldwide, making her one of the best-selling music artists of all time.

She began her career as a teenage actress by appearing in the Broadway musical 13 (2008), and rose to fame as Cat Valentine in the Nickelodeon television series Victorious (2010–2013) and its spin-off series Sam & Cat (2013–2014). Grande signed with Republic Records and released her retro-pop and R&B-influenced debut studio album, Yours Truly (2013), which debuted at number one on the Billboard 200. She blended pop, R&B, and electronic on her second and third albums, My Everything (2014) and Dangerous Woman (2016), which both achieved international success and contained the singles ""Problem"", ""Break Free"", ""Bang Bang"", ""One Last Time"", ""Into You"" and ""Side to Side"".

Personal struggles influenced Grande's trap-infused albums Sweetener (2018) and Thank U, Next (2019). The former won Grande her first Grammy award, while the latter garnered US number-one singles ""Thank U, Next"" and ""7 Rings"", and made her the first solo artist to occupy the top three spots of the Billboard Hot 100. She subsequently achieved the most number-one debuts in Hot 100 chart history with the title track of her sixth album, Positions (2020), as well as the collaborations ""Stuck with U"" and ""Rain on Me"". After a musical hiatus, Grande released her seventh album, Eternal Sunshine (2024), which yielded the US number-one singles ""Yes, And?"" and ""We Can't Be Friends (Wait for Your Love)"". She returned to film acting with the political satire Don't Look Up (2021) and received critical praise for her portrayal of Glinda in the fantasy musical Wicked (2024), earning her a nomination for the Academy Award for Best Supporting Actress.

Six of Grande's albums have reached number one on the US Billboard 200 while nine of her songs have topped the US Billboard Hot 100, obtaining the most number-one duets in the country. According to Forbes, she was the world's highest-paid female musician in 2020, and among the Forbes Celebrity 100 in 2019 and 2020, while Time included her on its Time 100 list of the world's most influential people in 2016 and 2019. Outside of music and acting, Grande has worked with many charitable organizations and advocates for animal rights, mental health, and gender, racial, and LGBT equality. Her business ventures include R.E.M. Beauty, a cosmetics brand launched in 2021, and a fragrance line that has earned over $1 billion in global retail sales. She has a large social media following, being the sixth-most-followed individual on Instagram.",Female
Britney Spears,"Britney Jean Spears (born December 2, 1981) is an American singer. Dubbed the ""Princess of Pop"", she is known for reviving teen pop and her influence on pop music and culture in the 21st century. Spears has sold 150 million records worldwide, making her one of the best-selling music artists of all time.

Spears signed with Jive Records in 1997 and rose to fame with her teen pop-imbued first two studio albums, ...Baby One More Time (1999) and Oops!... I Did It Again (2000). Both rank amongst the best-selling albums of all time, with the former yielding the U.S. Billboard Hot 100 number-one single ""...Baby One More Time"", one of the best-selling singles in history. Adopting a more mature and provocative image, she released the pop albums Britney (2001) and In the Zone (2003). Public scrutiny and personal challenges influenced the electropop record Blackout (2007), which Spears executive produced; it is often considered her best work. Her following electropop albums Circus (2008) and Femme Fatale (2011) spawned the U.S. number-one singles ""Womanizer"" and ""Hold It Against Me"". Spears embarked on a 2013–2017 concert residency to promote her next two albums, Britney Jean (2013) and Glory (2016).

Spears' life—including her high-profile relationships and personal struggles—has received widespread media coverage. After a mental breakdown in 2008, she was placed under a conservatorship. She stepped back from touring in 2019 to focus on the conservatorship case, sparking the #FreeBritney movement and the release of Framing Britney Spears (2021). The conservatorship was ended in 2021 after her public testimony alleging abuse by her management and family. Her 2023 memoir, The Woman in Me, debuted at number one on The New York Times Best Seller list. Other ventures include her starring role in the comedy-drama film Crossroads (2002) and launching successful products, such as the fragrance Fantasy, which generated over $1.5 billion in sales.

Spears is the fourth best-selling female album artist of the Nielsen SoundScan era, as well as the best-selling female album artist of the 2000s. She was listed as the world's highest-paid female musician in 2001 and 2012 by Forbes. Spears' accolades include a Grammy Award, 15 Guinness World Records, six MTV Video Music Awards, and seven Billboard Music Awards (including the Millennium Award); she also has a star on the Hollywood Walk of Fame. Billboard named her one of the greatest pop stars of the 21st Century. Time named Spears one of the 100 most influential people in the world in 2021.",Female
Celine Dion,"Céline Marie Claudette Dion[b] (born 30 March 1968)[3] is a Canadian singer. Referred to as the ""Queen of Power Ballads"";[4][5] her powerful, technically skilled vocals and commercially successful works have had a significant impact on popular music. With over 200 million records sold worldwide, Dion is the best-selling Canadian recording artist, the best-selling French-language artist, and one of the best-selling musical artists of all time.

Born into a large family in Charlemagne, Quebec, Dion was discovered by her future manager and husband, René Angélil, and emerged as a teen star in her home country with a series of French-language albums during the 1980s. She gained international recognition by winning the 1988 Eurovision Song Contest, where she represented Switzerland with the song ""Ne partez pas sans moi"". Dion went on to release twelve English-language albums. The Colour of My Love (1993), Falling into You (1996), Let's Talk About Love (1997), and All the Way... A Decade of Song (1999) all rank among the best-selling albums of all time. Her catalog of high-charting tracks includes ""Beauty and the Beast"", ""The Power of Love"", ""Think Twice"", ""To Love You More"", ""Because You Loved Me"", ""It's All Coming Back to Me Now"", ""All by Myself"", ""I'm Your Angel"", ""That's the Way It Is"", ""I'm Alive"", and ""My Heart Will Go On"" – the theme for the 1997 film Titanic, which is the second best-selling single by a woman in history.

Dion continued releasing French-language albums between each English record, with D'eux (1995) becoming the best-selling French-language album of all time. During the 2000s, she built her reputation as a successful live performer with A New Day... on the Las Vegas Strip (2003–2007), the highest-grossing concert residency of all time, and the Taking Chances World Tour (2008–2009), one of the highest-grossing concert tours of the 2000s. Los Angeles Times named her the top-earning artist of the decade, with combined album sales and concert revenue exceeding $747 million. In 2022, Dion canceled her tour due to a diagnosis with stiff-person syndrome.

Dion's accolades include 5 Grammy Awards, 20 Juno Awards and a recognition from the International Federation of the Phonographic Industry for selling over 50 million albums in Europe.[6] Seven of her albums have sold at least 10 million copies worldwide, the second most among women in history. She was ranked among the greatest women in music by VH1 and the greatest voices in music by MTV. Dion is one of the highest-grossing touring artists in history and the second woman to accumulate US$1 billion in concert revenue. One of the wealthiest musicians in the world, Forbes ranked her the highest-paid female musician of 1997, 1998, 2004, and 2006. She received honorary doctorates in music from the Berklee College of Music and the Université Laval. In 2013, she was elevated to the Companion of the Order of Canada.",Female
Cher,"Cher[b] (/ʃɛər/ ⓘ SHAIR; born Cheryl Sarkisian,[a] May 20, 1946) is an American singer, actress and television personality. Dubbed the ""Goddess of Pop"", she is known for her androgynous contralto voice, bold visual presentation and multifaceted career, while cultivating a screen persona that mirrors her public image by often portraying strong-willed and outspoken women. An influential figure in popular culture, her continual reinvention has fueled multiple comebacks over a career spanning more than six decades.

Cher rose to fame in 1965 as part of the folk rock duo Sonny & Cher, early exponents of the 1960s counterculture, simultaneously finding success as a solo artist. In the 1970s, she topped the US Billboard Hot 100 with the narrative pop songs ""Gypsys, Tramps & Thieves"", ""Half-Breed"" and ""Dark Lady"". After focusing on acting, she reemerged with the glam rock albums Cher (1987), Heart of Stone (1989) and Love Hurts (1991), scoring international number-one singles ""If I Could Turn Back Time"" and ""The Shoop Shoop Song (It's in His Kiss)"". At 52, she reached a commercial peak with the dance-pop album Believe (1998), which introduced the ""Cher effect""—a stylized use of Auto-Tune to distort vocals. The title track became 1999's number-one song in the US and the UK's best-selling single by a female artist. In the 21st century, she released her highest-charting US Billboard 200 albums, Closer to the Truth (2013) and Dancing Queen (2018), both of which debuted at number three.

Cher became a TV star in the 1970s with The Sonny & Cher Comedy Hour and her solo show Cher, both on CBS, attracting over 30 million weekly viewers. She gained critical acclaim after debuting on Broadway and starring in the film adaptation of Come Back to the 5 & Dime, Jimmy Dean, Jimmy Dean (1982). Transitioning to film, she earned two Academy Award nominations—for Silkwood (1983) and Moonstruck (1987), winning the Oscar for Best Actress for the latter—and received the Cannes Film Festival's Best Actress Award for Mask (1985). Other starring roles include The Witches of Eastwick (1987), Mermaids (1990), If These Walls Could Talk (1996, her directorial debut), Tea with Mussolini (1999), Burlesque (2010) and Mamma Mia! Here We Go Again (2018). Her life and career inspired the 2018 jukebox musical The Cher Show.

Cher is one of the best-selling music artists in history, with estimated global sales of over 100 million records. She is a Rock and Roll Hall of Fame inductee and the only solo artist with number-one singles on the US Billboard charts in seven consecutive decades (1960s–2020s).[c] Her accolades include a Grammy Award, a Primetime Emmy Award, three Golden Globes, the Billboard Icon Award and the Kennedy Center Honors. Her 2002–2005 Living Proof: The Farewell Tour was the highest-grossing concert tour by a female artist at the time, earning $250 million—about $402 million in 2025. Beyond music and acting, Cher is known for her progressive politics and advocacy for causes including LGBTQ rights and HIV/AIDS awareness.",Female
